X,Y,DESC_,NAME,Aus_u_ga@2,Aus_Ka_ga@,Aus_Amag_g,Aus_Th_ga@,Aus_BA267_
130.439298005501,-28.6458481490537,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,-0.06659,0.21365,-58.71838,2.03123,-747.82935
130.440259119765,-28.6461243000498,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,-0.06640,0.20537,-59.20640,2.13737,-747.82935
130.441220234028,-28.646400451046,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,-0.06339,0.19687,-59.71211,2.25344,-752.01813
130.442181348292,-28.6466766020421,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,-0.04676,0.19037,-60.28690,2.37194,-752.01813
130.443142462555,-28.6469527530382,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,-0.04024,0.18141,-60.83859,2.49764,-752.01813
130.444103576818,-28.6472289040344,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,-0.03252,0.17195,-61.40399,2.62583,-752.01813
130.445064691082,-28.6475050550305,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,-0.01323,0.16499,-62.69555,2.75260,-752.01813
130.446025805345,-28.6477812060267,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,-0.00415,0.15499,-63.31075,2.88280,-752.01813
130.446986919609,-28.6480573570228,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.00651,0.14510,-63.93550,3.01122,-752.01813
130.447948033872,-28.648333508019,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.01894,0.13529,-64.73927,3.13359,-752.01813
130.448909148135,-28.6486096590151,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.04231,0.13077,-65.39080,3.24503,-752.01813
130.449870262399,-28.6488858100112,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.05721,0.12148,-66.04865,3.35042,-755.97723
130.450831376662,-28.6491619610074,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.07352,0.11266,-66.92999,3.44796,-755.97723
130.451792490926,-28.6494381120035,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.09133,0.10462,-68.29710,3.53633,-755.97723
130.452753605189,-28.6497142629997,"Waigen (250k map) region; basement province",Cambrian sedimentary rocks 76536,0.11698,0.10547,-68.98660,3.62400,-755.97723
